"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","response","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"","","","","","html-keyboard-response","107","206515","0.0-7.0-0.15","","","","","","","","","","","","","","","","null","","null","false","604.4000000000001","596.8711431702998","394.5","10","fallScene","","","","","",""
"","","","","","html-keyboard-response","108","208577","0.0-7.0-1.15","","","","","","","","","","","","","","","","","","","","","","","","","644.0013904597711","312.00990285926514","2059","","",""
"","","","","","html-keyboard-response","108","208578","0.0-7.0-1.15","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","644.0013904597711","312.00990285926514","2059","5","625","250"
"","","","","","html-keyboard-response","109","211584","0.0-7.0-0.16","","","","","","","","","","","","","","","","null","","null","true","604.4000000000001","667.6211431702998","201.78","9","fallScene","","","","","",""
"","","","","","html-keyboard-response","110","213730","0.0-7.0-1.16","","","","","","","","","","","","","","","","","","","","","","","","","489.007087002659","363.00705509697394","2145.000000000029","","",""
"","","","","","html-keyboard-response","110","213730","0.0-7.0-1.16","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","489.007087002659","363.00705509697394","2145.000000000029","6","625","350"
"","","","","","html-keyboard-response","111","216742","0.0-7.0-0.17","","","","","","","","","","","","","","","","null","","null","true","500","479.92114317029973","330.87","6","fallScene","","","","","",""
"","","","","","html-keyboard-response","112","218899","0.0-7.0-1.17","","","","","","","","","","","","","","","","","","","","","","","","","490.99105264072966","351.9955340441015","2155","","",""
"","","","","","html-keyboard-response","112","218899","0.0-7.0-1.17","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","490.99105264072966","351.9955340441015","2155","2","375","350"
"","","","","","html-button-response","113","249967","0.0-8.0","","","","","","","","","","","","","","","","31067","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are almost done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","",""
