success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,practiceTestResult,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,url,stimulus,response,task,ball_X,obstacle_groundTruth_x,obstacle_groundTruth_y,stimulus_idx,trial_name,flipped,choice,timeLimit,question_order,obstacle_choice_x,obstacle_choice_y,currentTrial
,,,,,html-keyboard-response,112,617172,0.0-18.0-0.1,,,,passed,,,,,,,,,,,,,,,,,ballFalling,322.3,379.3711432,245.25,1,fallScene,TRUE,,,,,,26
,,,,,html-keyboard-response,113,617691,0.0-18.0-1.1,,,,passed,,516,,,,,,,,,,,,,,j,yesOrNo,,,,1,,,gt,1000,,,,26
,,,,,html-keyboard-response,114,619255,0.0-18.0-0.2,,,,passed,,,,,,,,,,,,,,,,,ballFalling,604.4,575.4211432,266.76,12,fallScene,FALSE,,,,,,27
,,,,,html-keyboard-response,115,619801,0.0-18.0-1.2,,,,passed,,542,,,,,,,,,,,,,,j,yesOrNo,,,,12,,,gt,1000,,,,27
,,,,,html-keyboard-response,116,621588,0.0-18.0-0.3,,,,passed,,,,,,,,,,,,,,,,,ballFalling,322.3,308.0711432,253.89,2,fallScene,TRUE,,,,,,28
,,,,,html-keyboard-response,117,622209,0.0-18.0-1.3,,,,passed,,616,,,,,,,,,,,,,,f,yesOrNo,,,,2,,,mid,1000,,,,28
,,,,,html-keyboard-response,118,623872,0.0-18.0-0.4,,,,passed,,,,,,,,,,,,,,,,,ballFalling,500,479.9211432,330.87,6,fallScene,FALSE,,,,,,29
,,,,,html-keyboard-response,119,624325,0.0-18.0-1.4,,,,passed,,450,,,,,,,,,,,,,,j,yesOrNo,,,,6,,,gt,1000,,,,29
,,,,,html-keyboard-response,120,626122,0.0-18.0-0.5,,,,passed,,,,,,,,,,,,,,,,,ballFalling,322.3,308.0711432,253.89,2,fallScene,FALSE,,,,,,30
,,,,,html-keyboard-response,121,626794,0.0-18.0-1.5,,,,passed,,668,,,,,,,,,,,,,,j,yesOrNo,,,,2,,,gt,1000,,,,30
,,,,,html-keyboard-response,122,628806,0.0-18.0-0.6,,,,passed,,,,,,,,,,,,,,,,,ballFalling,500,510.8711432,369.03,8,fallScene,TRUE,,,,,,31
,,,,,html-keyboard-response,123,629311,0.0-18.0-1.6,,,,passed,,504,,,,,,,,,,,,,,f,yesOrNo,,,,8,,,lp,1000,,,,31
,,,,,html-keyboard-response,124,630872,0.0-18.0-0.7,,,,passed,,,,,,,,,,,,,,,,,ballFalling,500,453.6711432,210.33,5,fallScene,TRUE,,,,,,32
,,,,,html-keyboard-response,125,631537,0.0-18.0-1.7,,,,passed,,663,,,,,,,,,,,,,,f,yesOrNo,,,,5,,,mid,1000,,,,32
,,,,,html-keyboard-response,126,633539,0.0-18.0-0.8,,,,passed,,,,,,,,,,,,,,,,,ballFalling,500,510.8711432,369.03,8,fallScene,TRUE,,,,,,33
,,,,,html-keyboard-response,127,634052,0.0-18.0-1.8,,,,passed,,511,,,,,,,,,,,,,,j,yesOrNo,,,,8,,,gt,1000,,,,33
,,,,,html-keyboard-response,128,635839,0.0-18.0-0.9,,,,passed,,,,,,,,,,,,,,,,,ballFalling,322.3,308.0711432,253.89,2,fallScene,FALSE,,,,,,34
,,,,,html-keyboard-response,129,636475,0.0-18.0-1.9,,,,passed,,633,,,,,,,,,,,,,,f,yesOrNo,,,,2,,,mid,1000,,,,34
,,,,,html-keyboard-response,130,638039,0.0-18.0-0.10,,,,passed,,,,,,,,,,,,,,,,,ballFalling,604.4,575.4211432,266.76,12,fallScene,TRUE,,,,,,35
,,,,,html-keyboard-response,131,638403,0.0-18.0-1.10,,,,passed,,362,,,,,,,,,,,,,,j,yesOrNo,,,,12,,,mid,1000,,,,35
,,,,,html-keyboard-response,132,639972,0.0-18.0-0.11,,,,passed,,,,,,,,,,,,,,,,,ballFalling,500,553.4711432,282.51,7,fallScene,TRUE,,,,,,36
,,,,,html-keyboard-response,133,640627,0.0-18.0-1.11,,,,passed,,653,,,,,,,,,,,,,,f,yesOrNo,,,,7,,,mid,1000,,,,36
,,,,,html-keyboard-response,134,642190,0.0-18.0-0.12,,,,passed,,,,,,,,,,,,,,,,,ballFalling,322.3,356.4211432,357.87,4,fallScene,FALSE,,,,,,37
,,,,,html-keyboard-response,135,642860,0.0-18.0-1.12,,,,passed,,669,,,,,,,,,,,,,,f,yesOrNo,,,,4,,,mid,1000,,,,37
,,,,,html-keyboard-response,136,644656,0.0-18.0-0.13,,,,passed,,,,,,,,,,,,,,,,,ballFalling,322.3,308.0711432,253.89,2,fallScene,FALSE,,,,,,38
,,,,,html-keyboard-response,137,645334,0.0-18.0-1.13,,,,passed,,676,,,,,,,,,,,,,,f,yesOrNo,,,,2,,,lp,1000,,,,38
,,,,,html-keyboard-response,138,646889,0.0-18.0-0.14,,,,passed,,,,,,,,,,,,,,,,,ballFalling,322.3,296.0711432,371.46,3,fallScene,FALSE,,,,,,39
,,,,,html-keyboard-response,139,647568,0.0-18.0-1.14,,,,passed,,676,,,,,,,,,,,,,,f,yesOrNo,,,,3,,,lp,1000,,,,39
,,,,,html-keyboard-response,140,649356,0.0-18.0-0.15,,,,passed,,,,,,,,,,,,,,,,,ballFalling,322.3,308.0711432,253.89,2,fallScene,FALSE,,,,,,40
