"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck"
"","","","","","survey-multi-choice","62","368306","0.0-11.2-1.2-5.2","","","","passed","","2477","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","63","370768","0.0-11.2-1.2-6.2","","","","passed","","2452","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]",""
"","","","","","html-button-response","64","372651","0.0-11.2-2.2-0.2","","","","passed","","1872","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed"
"","","","","","instructions","65","379623","0.0-11.3-0.3-0.3","","","","passed","[{""page_index"":0,""viewing_time"":1733},{""page_index"":1,""viewing_time"":735},{""page_index"":2,""viewing_time"":3140},{""page_index"":3,""viewing_time"":1361}]","6970","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","66","382031","0.0-11.3-0.3-1.3","","","","passed","","1904","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","",""
"","","","","","html-keyboard-response","67","384138","0.0-11.3-0.3-2.3-0.9","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","",""
"","","","","","html-keyboard-response","68","386265","0.0-11.3-0.3-2.3-1.9","","","","passed","","2124","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","",""
"","","","","","html-keyboard-response","69","387838","0.0-11.3-0.3-2.3-0.10","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","",""
"","","","","","html-keyboard-response","70","389150","0.0-11.3-0.3-2.3-1.10","","","","passed","","1308","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","",""
"","","","","","html-keyboard-response","71","390704","0.0-11.3-0.3-2.3-0.11","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","",""
"","","","","","html-keyboard-response","72","394396","0.0-11.3-0.3-2.3-1.11","","","","passed","","3689","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","",""
"","","","","","instructions","73","401224","0.0-11.3-0.3-3.3","","","","passed","[{""page_index"":0,""viewing_time"":5399},{""page_index"":1,""viewing_time"":1427}]","6826","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","74","402611","0.0-11.3-0.3-4.3","","","","passed","","885","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","0","","","","","","","","","","",""
"","","","","","instructions","75","411891","0.0-11.3-0.4-0.4","","","","passed","[{""page_index"":0,""viewing_time"":3774},{""page_index"":1,""viewing_time"":2526},{""page_index"":2,""viewing_time"":1485},{""page_index"":3,""viewing_time"":1493}]","9278","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","76","414207","0.0-11.3-0.4-1.4","","","","passed","","1812","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","",""
"","","","","","html-keyboard-response","77","415788","0.0-11.3-0.4-2.4-0.12","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","",""
"","","","","","html-keyboard-response","78","416426","0.0-11.3-0.4-2.4-1.12","","","","passed","","634","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","",""
"","","","","","html-keyboard-response","79","417987","0.0-11.3-0.4-2.4-0.13","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","",""
"","","","","","html-keyboard-response","80","418843","0.0-11.3-0.4-2.4-1.13","","","","passed","","852","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","",""
"","","","","","html-keyboard-response","81","420954","0.0-11.3-0.4-2.4-0.14","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","",""
"","","","","","html-keyboard-response","82","422623","0.0-11.3-0.4-2.4-1.14","","","","passed","","1666","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","",""
"","","","","","instructions","83","428439","0.0-11.3-0.4-3.4","","","","passed","[{""page_index"":0,""viewing_time"":4610},{""page_index"":1,""viewing_time"":1204}]","5814","","","","","","","","","","","","","","","","","","","","","","","","",""
