"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","68","371726","0.0-13.1-3.1","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","2759","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <strong>1 second(s)</strong> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","69","373304","0.0-13.1-4.1-0.3","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","70","373572","0.0-13.1-4.1-1.3","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","267","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","far gt","1000","","","","",""
"","","","","","html-keyboard-response","71","375689","0.0-13.1-4.1-0.4","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","334","350","3","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","72","376057","0.0-13.1-4.1-1.4","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","367","","","","","","","","","","","","","","j","yesOrNo_prac","","","","3","","","close gt","1000","","","","",""
"","","","","","html-keyboard-response","73","377625","0.0-13.1-4.1-0.5","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","74","378044","0.0-13.1-4.1-1.5","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","418","","","","","","","","","","","","","","j","yesOrNo_prac","","","","6","","","gt","1000","","","","",""
"","","","","","instructions","75","385992","0.0-13.1-5.1","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","[{""page_index"":0,""viewing_time"":7948}]","7948","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","76","388887","0.0-13.1-6.1","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","2895","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice Test BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <strong>1 second(s)</strong> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","77","390471","0.0-13.1-7.1-0.3","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","390","263","4","fallScene","true","","","","","","",""
